id,tile,row,col,elev,aspect,slope,lat,lon,e_lv95,n_lv95,band,asp_c,slope_cls
t2_2800_E_20-30_111,2,550,704,2786.2,90.7,23.4,46.610279,8.171263,2656125.0,1162375.0,2800,E,20-30
t2_2800_E_20-30_112,2,606,691,2792.1,111.3,28.1,46.48461,8.127239,2652875.0,1148375.0,2800,E,20-30
t2_2800_SE_20-30_113,2,645,638,2820.4,138.5,27.1,46.397819,7.953855,2639625.0,1138625.0,2800,SE,20-30
t2_2800_S_20-30_114,2,613,633,2802.1,182.4,21.3,46.469855,7.938265,2638375.0,1146625.0,2800,S,20-30
t2_2800_SW_20-30_115,2,604,674,2833.7,208.7,25.0,46.48943,8.071946,2648625.0,1148875.0,2800,SW,20-30
t2_2800_SW_20-30_116,2,546,687,2849.4,243.9,27.1,46.619617,8.115902,2651875.0,1163375.0,2800,SW,20-30
t2_2800_W_20-30_117,2,645,504,2828.1,264.8,25.6,46.398959,7.518282,2606125.0,1138625.0,2800,W,20-30
t2_2800_NW_20-30_118,2,616,587,2820.4,308.5,23.3,46.463668,7.788499,2626875.0,1145875.0,2800,NW,20-30
t2_2800_NW_20-30_119,2,609,566,2794.1,331.3,25.8,46.479599,7.720237,2621625.0,1147625.0,2800,NW,20-30
t2_2800_N_30-42_120,2,586,717,2816.5,356.5,36.4,46.529042,8.212526,2659375.0,1153375.0,2800,N,30-42
t2_2800_NE_30-42_121,2,636,548,2754.7,26.2,35.6,46.419009,7.661391,2617125.0,1140875.0,2800,NE,30-42
t2_2800_NE_30-42_122,2,563,698,2808.5,65.3,31.5,46.581168,8.151299,2654625.0,1159125.0,2800,NE,30-42
t2_2800_E_30-42_123,2,658,596,2742.9,85.7,36.0,46.369121,7.817131,2629125.0,1135375.0,2800,E,30-42
t2_2800_SE_30-42_124,2,630,639,2811.0,115.1,32.5,46.431537,7.957428,2639875.0,1142375.0,2800,SE,30-42
t2_2800_SE_30-42_125,2,606,586,2762.7,154.0,38.2,46.486166,7.785388,2626625.0,1148375.0,2800,SE,30-42
t2_2800_S_30-42_126,2,563,711,2808.1,175.0,32.5,46.580895,8.193698,2657875.0,1159125.0,2800,S,30-42
t2_2800_SW_30-42_127,2,559,704,2778.5,211.5,37.6,46.590039,8.170989,2656125.0,1160125.0,2800,SW,30-42
t2_2800_SW_30-42_128,2,558,681,2728.3,247.1,34.4,46.592746,8.095991,2650375.0,1160375.0,2800,SW,30-42
t2_2800_W_30-42_129,2,606,577,2830.5,265.5,35.0,46.486252,7.756086,2624375.0,1148375.0,2800,W,30-42
t2_2800_NW_30-42_130,2,624,628,2734.4,311.9,32.6,46.445188,7.92177,2637125.0,1143875.0,2800,NW,30-42
t2_2800_NW_30-42_131,2,576,708,2783.7,329.4,33.8,46.551725,8.183511,2657125.0,1155875.0,2800,NW,30-42
t2_2800_N_42-55_132,2,599,591,2835.0,4.0,47.7,46.501858,7.801773,2627875.0,1150125.0,2800,N,42-55
t2_2800_NE_42-55_133,2,572,670,2841.7,25.7,44.1,46.561464,8.059746,2647625.0,1156875.0,2800,NE,42-55
t2_2800_NE_42-55_134,2,650,625,2898.9,64.4,45.2,46.386759,7.911501,2636375.0,1137375.0,2800,NE,42-55
t2_2800_E_42-55_135,2,632,561,2699.4,84.1,46.7,46.427914,7.703708,2620375.0,1141875.0,2800,E,42-55
t2_2800_SE_42-55_136,2,615,573,2757.8,127.1,43.9,46.466048,7.742949,2623375.0,1146125.0,2800,SE,42-55
t2_2800_S_42-55_137,2,688,404,2789.8,160.0,47.8,46.302016,7.193661,2581125.0,1127875.0,2800,S,42-55
t2_2800_S_42-55_138,2,622,668,2785.2,194.6,42.9,46.449058,8.051952,2647125.0,1144375.0,2800,S,42-55
t2_2800_SW_42-55_139,2,636,651,2722.0,227.7,44.2,46.417859,7.996319,2642875.0,1140875.0,2800,SW,42-55
t2_2800_SW_42-55_140,2,582,632,2861.5,234.4,45.3,46.539584,7.935648,2638125.0,1154375.0,2800,SW,42-55
t2_2800_W_42-55_141,2,659,586,2773.9,270.0,44.8,46.366976,7.784629,2626625.0,1135125.0,2800,W,42-55
t2_2800_NW_42-55_142,2,626,578,2817.6,295.1,42.6,46.441265,7.759076,2624625.0,1143375.0,2800,NW,42-55
t2_2800_NW_42-55_143,2,632,620,2862.2,337.1,46.3,46.427305,7.895592,2635125.0,1141875.0,2800,NW,42-55
t3_1600_N_20-30_0,3,722,483,1593.6,7.5,23.5,46.22582,7.449986,2600875.0,1119375.0,1600,N,20-30
t3_1600_NE_20-30_1,3,838,639,1681.3,23.6,26.4,45.963778,7.952997,2639875.0,1090375.0,1600,NE,20-30
t3_1600_NE_20-30_2,3,797,406,1555.7,59.8,21.5,46.056902,7.201226,2581625.0,1100625.0,1600,NE,20-30
t3_1600_E_20-30_3,3,734,521,1618.1,90.2,26.6,46.198755,7.573049,2610375.0,1116375.0,1600,E,20-30
t3_1600_E_20-30_4,3,719,292,1622.4,108.4,20.9,46.230928,6.831033,2553125.0,1120125.0,1600,E,20-30
t3_1600_SE_20-30_5,3,821,322,1621.2,149.6,25.5,46.002029,6.930395,2560625.0,1094625.0,1600,SE,20-30
t3_1600_S_20-30_6,3,898,412,1579.9,184.2,25.7,45.829809,7.221514,2583125.0,1075375.0,1600,S,20-30
t3_1600_SW_20-30_7,3,763,262,1626.2,214.1,24.5,46.131415,6.735102,2545625.0,1109125.0,1600,SW,20-30
t3_1600_SW_20-30_8,3,746,483,1557.1,232.4,24.5,46.171846,7.449976,2600875.0,1113375.0,1600,SW,20-30
t3_1600_W_20-30_9,3,733,529,1635.4,269.4,26.6,46.20097,7.598965,2612375.0,1116625.0,1600,W,20-30
t3_1600_NW_20-30_10,3,801,332,1721.4,304.2,23.3,46.047147,6.962271,2563125.0,1099625.0,1600,NW,20-30
t3_1600_N_20-30_11,3,712,506,1624.5,341.6,24.4,46.248277,7.524547,2606625.0,1121875.0,1600,N,20-30
t3_1600_N_30-42_12,3,735,716,1547.1,2.5,36.2,46.193993,8.204531,2659125.0,1116125.0,1600,N,30-42
t3_1600_NE_30-42_13,3,755,479,1582.9,25.4,33.4,46.151607,7.437028,2599875.0,1111125.0,1600,NE,30-42
t3_1600_NE_30-42_14,3,763,487,1513.2,53.0,39.2,46.133613,7.462907,2601875.0,1109125.0,1600,NE,30-42
t3_1600_E_30-42_15,3,798,383,1581.7,81.4,35.2,46.054471,7.126944,2575875.0,1100375.0,1600,E,30-42
t3_1600_SE_30-42_16,3,768,344,1592.0,130.3,34.9,46.121516,7.00043,2566125.0,1107875.0,1600,SE,30-42
t3_1600_S_30-42_17,3,676,262,1637.2,158.5,33.1,46.327061,6.732564,2545625.0,1130875.0,1600,S,30-42
t3_1600_S_30-42_18,3,829,672,1604.0,182.8,37.1,45.983481,8.05964,2648125.0,1092625.0,1600,S,30-42
t3_1600_SW_30-42_19,3,835,648,1600.5,204.2,36.5,45.970388,7.982086,2642125.0,1091125.0,1600,SW,30-42
t3_1600_SW_30-42_20,3,800,373,1628.4,243.3,36.9,46.049879,7.094672,2573375.0,1099875.0,1600,SW,30-42
t3_1600_W_30-42_21,3,739,625,1606.9,259.8,34.3,46.18661,7.909767,2636375.0,1115125.0,1600,W,30-42
t3_1600_NW_30-42_22,3,808,324,1521.7,298.2,37.7,46.031292,6.93658,2561125.0,1097875.0,1600,NW,30-42
t3_1600_N_30-42_23,3,697,524,1628.5,341.2,37.1,46.281952,7.582985,2611125.0,1125625.0,1600,N,30-42
t3_1600_N_42-55_24,3,661,282,1505.5,353.7,47.0,46.361181,6.797089,2550625.0,1134625.0,1600,N,42-55
t3_1600_NE_42-55_25,3,727,614,1606.6,33.7,49.7,46.213739,7.874365,2633625.0,1118125.0,1600,NE,42-55
t3_1600_NE_42-55_26,3,734,618,1593.6,63.0,46.5,46.197946,7.887194,2634625.0,1116375.0,1600,NE,42-55
t3_1600_E_42-55_27,3,761,586,1657.3,84.6,54.5,46.13759,7.783176,2626625.0,1109625.0,1600,E,42-55
t3_1600_SE_42-55_28,3,740,590,1609.9,116.4,45.3,46.184776,7.796426,2627625.0,1114875.0,1600,SE,42-55
t3_1600_SE_42-55_29,3,833,635,1651.9,152.8,43.1,45.97508,7.940202,2638875.0,1091625.0,1600,SE,42-55
t3_1600_S_42-55_30,3,773,270,1658.8,168.4,43.8,46.109086,6.761258,2547625.0,1106625.0,1600,S,42-55
t3_1600_SW_42-55_31,3,786,299,1534.6,219.3,47.8,46.080376,6.855335,2554875.0,1103375.0,1600,SW,42-55
t3_1600_SW_42-55_32,3,802,432,1583.9,229.8,42.7,46.045804,7.285243,2588125.0,1099375.0,1600,SW,42-55
t3_1600_W_42-55_33,3,756,307,1620.6,278.4,47.3,46.147972,6.880496,2556875.0,1110875.0,1600,W,42-55
t3_1600_NW_42-55_34,3,776,301,1603.5,303.5,44.3,46.102898,6.861559,2555375.0,1105875.0,1600,NW,42-55
t3_1600_NW_42-55_35,3,738,685,1696.2,333.8,50.4,46.187882,8.104063,2651375.0,1115375.0,1600,NW,42-55
t3_2000_N_20-30_36,3,812,369,1982.7,348.2,26.0,46.022852,7.081929,2572375.0,1096875.0,2000,N,20-30
t3_2000_NE_20-30_37,3,807,425,1915.2,24.8,23.8,46.034526,7.262673,2586375.0,1098125.0,2000,NE,20-30
t3_2000_E_20-30_38,3,706,559,1992.3,70.1,25.7,46.261511,7.696414,2619875.0,1123375.0,2000,E,20-30
t3_2000_E_20-30_39,3,888,413,2050.7,87.7,24.0,45.852303,7.224643,2583375.0,1077875.0,2000,E,20-30
t3_2000_SE_20-30_40,3,768,339,1994.1,129.8,22.1,46.121452,6.98426,2564875.0,1107875.0,2000,SE,20-30
t3_2000_S_20-30_41,3,773,409,1850.6,159.9,22.5,46.110894,7.21069,2582375.0,1106625.0,2000,S,20-30
t3_2000_S_20-30_42,3,898,390,2115.4,180.4,25.7,45.829649,7.150744,2577625.0,1075375.0,2000,S,20-30
t3_2000_SW_20-30_43,3,830,645,2010.8,203.1,25.0,45.981678,7.972521,2641375.0,1092375.0,2000,SW,20-30
t3_2000_SW_20-30_44,3,750,489,2004.1,236.3,25.2,46.162847,7.469393,2602375.0,1112375.0,2000,SW,20-30
t3_2000_W_20-30_45,3,710,641,2007.3,265.6,25.3,46.251599,7.962198,2640375.0,1122375.0,2000,W,20-30
t3_2000_W_20-30_46,3,771,279,1984.9,292.0,25.1,46.113755,6.790303,2549875.0,1107125.0,2000,W,20-30
t3_2000_NW_20-30_47,3,836,326,2006.4,333.6,21.9,45.968354,6.943609,2561625.0,1090875.0,2000,NW,20-30
t3_2000_N_30-42_48,3,904,390,1922.3,4.9,36.0,45.816156,7.150815,2577625.0,1073875.0,2000,N,30-42
t3_2000_N_30-42_49,3,791,506,1958.3,20.5,36.6,46.070615,7.52427,2606625.0,1102125.0,2000,N,30-42
t3_2000_NE_30-42_50,3,752,626,1973.4,54.9,34.9,46.157361,7.91275,2636625.0,1111875.0,2000,NE,30-42
t3_2000_E_30-42_51,3,751,459,2091.9,96.9,34.8,46.160582,7.3723,2594875.0,1112125.0,2000,E,30-42
t3_2000_E_30-42_52,3,747,670,1932.5,112.0,40.4,46.167918,8.055265,2647625.0,1113125.0,2000,E,30-42
t3_2000_SE_30-42_53,3,881,462,1986.9,149.6,33.4,45.868236,7.382317,2595625.0,1079625.0,2000,SE,30-42
t3_2000_S_30-42_54,3,771,334,2022.3,182.1,36.0,46.114639,6.968148,2563625.0,1107125.0,2000,S,30-42
t3_2000_SW_30-42_55,3,811,447,1991.1,215.5,36.0,46.02562,7.333726,2591875.0,1097125.0,2000,SW,30-42
t3_2000_SW_30-42_56,3,890,418,1979.1,242.9,32.3,45.847835,7.24075,2584625.0,1077375.0,2000,SW,30-42
t3_2000_W_30-42_57,3,716,565,1930.8,273.1,34.4,46.238976,7.715754,2621375.0,1120875.0,2000,W,30-42
t3_2000_NW_30-42_58,3,800,586,2053.1,302.9,35.2,46.049885,7.782624,2626625.0,1099875.0,2000,NW,30-42
t3_2000_NW_30-42_59,3,819,307,1971.0,325.4,37.4,46.006297,6.881946,2556875.0,1095125.0,2000,NW,30-42
t3_2000_N_42-55_60,3,693,648,2007.8,353.9,47.6,46.289722,7.985274,2642125.0,1126625.0,2000,N,42-55
t3_2000_NE_42-55_61,3,761,339,1932.6,36.7,46.7,46.137194,6.984128,2564875.0,1109625.0,2000,NE,42-55
t3_2000_E_42-55_62,3,772,537,2043.7,71.0,46.7,46.113224,7.624577,2614375.0,1106875.0,2000,E,42-55
t3_2000_E_42-55_63,3,787,638,2024.4,88.1,42.7,46.078482,7.950845,2639625.0,1103125.0,2000,E,42-55
t3_2000_SE_42-55_64,3,803,672,1977.9,112.7,47.2,46.041949,8.060304,2648125.0,1099125.0,2000,SE,42-55
t3_2000_SE_42-55_65,3,789,679,2043.1,139.1,49.0,46.073305,8.08328,2649875.0,1102625.0,2000,SE,42-55
t3_2000_S_42-55_66,3,780,692,2049.6,191.9,45.9,46.093297,8.125538,2653125.0,1104875.0,2000,S,42-55
t3_2000_S_42-55_67,3,769,302,1941.4,198.1,49.9,46.118656,6.864626,2555625.0,1107625.0,2000,S,42-55
t3_2000_SW_42-55_68,3,806,441,1961.5,238.9,46.1,46.036844,7.31433,2590375.0,1098375.0,2000,SW,42-55
t3_2000_W_42-55_69,3,762,593,2039.2,269.4,45.9,46.13527,7.805806,2628375.0,1109375.0,2000,W,42-55
t3_2000_NW_42-55_70,3,775,304,1929.8,308.6,50.2,46.105196,6.871235,2556125.0,1106125.0,2000,NW,42-55
t3_2000_N_42-55_71,3,777,275,1992.9,337.6,46.4,46.100187,6.777533,2548875.0,1105625.0,2000,N,42-55
t3_2400_N_20-30_72,3,818,673,2428.1,348.7,25.7,46.008199,8.063148,2648375.0,1095375.0,2400,N,20-30
